Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
17/7/2019,112-0000000-0000017,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
18/7/2019,112-0000000-0000018,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
19/7/2019,112-0000000-0000019,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
20/7/2019,112-0000000-0000020,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
21/7/2019,112-0000000-0000021,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
22/7/2019,112-0000000-0000022,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
23/7/2019,112-0000000-0000023,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
24/7/2019,112-0000000-0000024,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
25/7/2019,112-0000000-0000025,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
26/7/2019,112-0000000-0000026,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
27/7/2019,112-0000000-0000027,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
28/7/2019,112-0000000-0000028,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
29/7/2019,112-0000000-0000029,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
30/7/2019,112-0000000-0000030,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
31/7/2019,112-0000000-0000031,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
1/8/2019,112-0000000-0000032,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
2/8/2019,112-0000000-0000033,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
3/8/2019,112-0000000-0000034,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
4/8/2019,112-0000000-0000035,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
5/8/2019,112-0000000-0000036,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
6/8/2019,112-0000000-0000037,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
7/8/2019,112-0000000-0000038,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
8/8/2019,112-0000000-0000039,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
9/8/2019,112-0000000-0000040,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
10/8/2019,112-0000000-0000041,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
11/8/2019,112-0000000-0000042,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
12/8/2019,112-0000000-0000043,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
13/8/2019,112-0000000-0000044,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
14/8/2019,112-0000000-0000045,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
15/8/2019,112-0000000-0000046,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
16/8/2019,112-0000000-0000047,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
17/8/2019,112-0000000-0000048,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
18/8/2019,112-0000000-0000049,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
19/8/2019,112-0000000-0000050,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
20/8/2019,112-0000000-0000051,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
21/8/2019,112-0000000-0000052,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
22/8/2019,112-0000000-0000053,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
23/8/2019,112-0000000-0000054,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
24/8/2019,112-0000000-0000055,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
25/8/2019,112-0000000-0000056,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
26/8/2019,112-0000000-0000057,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
27/8/2019,112-0000000-0000058,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
28/8/2019,112-0000000-0000059,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
29/8/2019,112-0000000-0000060,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
